non_profit_hotel_id,address_number,address_street,block_lot,cofu_residential,cofu_tourist
1,6600,03RD ST,5476 009 01,43,0
2,374,05TH ST,3753 008 01,44,0
3,34,06TH,3703 004 01,120,84
4,51,06TH ST,3704 050 01,63,17
5,74,06TH ST,3703 028 01,167,21
6,125,06TH ST,3725 079 001,65,29
7,172,06TH ST,3726 010 001,10,15
8,175,06TH ST,3725 026 01,26,103
9,1234,10TH AV,1741 052 01,32,0
10,2791,16TH ST,3572 019 01,86,0
11,3048,16TH ST,3554 013 01,87,7
12,2685,30TH AV,2446A 001 01,14,0
13,88,6TH ST,3703 029 01,180,0
14,534,BROADWAY,0145 010 01,65,0
15,1040,BUSH ST,0276 013 01,34,65
16,1541,CALIFORNIA ST,0645 020 01,51,0
17,3550,CESAR CHAVEZ,6568 034 01,49,0
18,657,CLAY ST,0227 043 01,83,0
19,665,CLAY ST,0227 042 01,22,0
20,854,CLAY ST,0210 011 01,16,0
21,910,CLAY ST,0211 005 01,6,0
22,230,EDDY,0332 004 01,179,47
23,141,EDDY ST,012 018 01,54,52
24,144,EDDY ST,0331 008 01,30,58
25,160,EDDY ST,0331 009 01,46,58
26,216,EDDY ST,0332 003 01,98,0
27,230,EDDY ST,0332 004 01,179,47
28,235,EDDY ST,0339 016 01,51,2
29,238,EDDY ST,0332 005 01,41,50
30,364,EDDY ST,0333 011 01,63,23
31,380,EDDY ST,0333 012 01,156,0
32,385,EDDY ST,0338 018 01,68,0
33,410,EDDY ST,0334 006 01,52,0
34,420,EDDY ST,0334 007 01,14,32
35,440,EDDY ST,0334 009 01,33,73
36,670,EDDY ST,0740 013 01,71,21
37,730,EDDY ST,0739 003 01,62,25
38,470,ELLIS,0323 015 001,91,82
39,373,ELLIS ST,0332 014 01,52,12
40,387,ELLIS ST,0332 012 01,71,0
41,480,ELLIS ST,0323 015 01,91,82
42,519,ELLIS ST,0334 028A 01,38,31
43,20,FRANKLIN ST aka 1580 Market St,0836 010 01,23,0
44,66,GEARY,0310 012 01,69,4
45,585,GEARY,0317 015 01,19,2
46,6324,GEARY BL,1459 033 01,34,0
47,811,GEARY ST,0320 023 01,61,0
48,909,GEARY ST,0716 001 01,137,0
49,1527,GRANT AV,0103 004 01,34,0
50,165,GUERRERO ST,3533 029 01,16,0
51,1011,HOWARD ST,3731 117 01,55,2
52,610,JACKSON ST,0177 003 02,8,0
53,1535,JACKSON ST,0597 022 01,19,0
54,3016,JACKSON ST,0975 004 01,15,0
55,540,JONES,0317 012 01,44,42
56,41,JONES ST,0349 002 01,8,72
57,140,JONES ST,0343 013 01,48,12
58,240,JONES ST,0339 014 01,150,0
59,420,JONES ST,0324 012 01,18,17
60,250,KEARNY ST,0288 025 01,137,8
61,391,LEAVENWORTH ST,0334 001 01,40,0
62,1693,MARKET ST,3504 038 01,26,36
63,312,MASON ST,0315 016 01,18,102
64,44,MCALLISTER,0349 004 01,211,0
65,270,MCALLISTER ST,0347 007 01,81,0
66,1095,MISSION ST,0376 105 01,14,58
67,2176,MISSION ST,3576 012 01,43,10
68,2522,MISSION ST,3616 061 01,9,0
69,835,OFARRELL,0717 019 01,49,35
70,516,OFARRELL ST,0318 007 01,77,51
71,770,OFARRELL ST,0320 012 01,32,12
72,111,PAGE ST,0853 019 01,2,0
73,626,POLK,0741 006B 01,67,10
74,1315,POLK ST,0667 003 010,0,0
75,1450,POWELL ST,0147 015 01,10,0
76,855,SACRAMENTO ST,0242 027 01,21,26
77,801,SILVER AV,5900A 025 01,142,0
78,22,SOUTH PARK AV,3775 048 01,50,0
79,102,SOUTH PARK AV,3775 057 01,38,1
80,520,SOUTH VAN NESS,3570 002 01,188,60
81,1044,STOCKTON ST,0193 021 01,10,0
82,1065,SUTTER ST,0301 018 01,5,44
83,34,TURK ST,0340 007 01,173,0
84,62,TURK ST,0340 009 01,120,0
85,124,TURK ST,0339 005 01,55,0
86,180,TURK ST,0339 011a 01,133,0
87,242,TURK ST,0338 025 01,60,14
88,459,TURK ST,0346 015 01,100,0
89,405,VALENCIA ST,3554 029 01,47,22
90,422,VALENCIA ST,3555 004 01,80,0
91,504,VALENCIA ST,3568 001 01,63,0
92,1462,VALENCIA ST,6531 012 01,7,4
93,42,WASHBURN,3509 044 01,24,0
94,940,WASHINGTON ST,0192 005 01,9,20
95,445,WAWONA ST,2540 102 01,64,51
96,37,WOODWARD ST,3532 064 01,59,0
